URL,Title,ISSN,Homepage,How to publish,Publisher,Subject Area and Category
https://www.scimagojr.com/journalsearch.php?q=21101101212&tip=sid&clean=0,AI Open,26666510,https://www.keaipublishing.com/en/journals/ai-open/,https://www2.cloud.editorialmanager.com/aiopen/default2.aspx,KeAi Communications Co.,"Computer Science, Artificial Intelligence, Computer Science Applications, Computer Vision and Pattern Recognition, Human-Computer Interaction, Information Systems, Software"
https://www.scimagojr.com/journalsearch.php?q=21101049047&tip=sid&clean=0,Transactions of the Association for Computational Linguistics,2307387X,https://direct.mit.edu/tacl,https://transacl.org/index.php/tacl/index,MIT Press Journals,"Computer Science, Artificial Intelligence, Computer Science Applications, Human-Computer Interaction"
https://www.scimagojr.com/journalsearch.php?q=21101012669&tip=sid&clean=0,npj Digital Medicine,23986352,https://www.nature.com/npjdigitalmed/,https://mts-npjdigitalmed.nature.com/cgi-bin/main.plex,Nature Publishing Group,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101024053&tip=sid&clean=0,Big Data Mining and Analytics,20960654,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8254253,https://mc03.manuscriptcentral.com/bdma,Institute of Electrical and Electronics Engineers Inc.,"Computer Science, Artificial Intelligence, Computer Networks and Communications, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21100466714&tip=sid&clean=0,International Journal of Educational Technology in Higher Education,23659440,https://educationaltechnologyjournal.springeropen.com/,https://www.editorialmanager.com/ethe/default.aspx,Springer Netherlands,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101107945&tip=sid&clean=0,Sustainable Operations and Computers,26664127,https://www.sciencedirect.com/journal/sustainable-operations-and-computers,https://www.keaipublishing.com/en/journals/sustainable-operations-and-computers/guide-for-authors/,KeAi Communications Co.,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100791292&tip=sid&clean=0,Journal of Big Data,21961115,https://journalofbigdata.springeropen.com/,https://www.editorialmanager.com/bigd/default.aspx,Springer Nature,"Computer Science, Computer Networks and Communications, Hardware and Architecture, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21100869486&tip=sid&clean=0,Computational Visual Media,"20960433, 20960662",https://www.springer.com/computer/image+processing/journal/41095,How to publish link not found,Tsinghua University Press Tsinghua University in Scimago Institutions Rankings,"Computer Science, Artificial Intelligence, Computer Graphics and Computer-Aided Design, Computer Vision and Pattern Recognition"
https://www.scimagojr.com/journalsearch.php?q=21101074919&tip=sid&clean=0,Computers and Education: Artificial Intelligence,2666920X,https://www.sciencedirect.com/journal/computers-and-education-artificial-intelligence,https://www2.cloud.editorialmanager.com/caeai/default2.aspx,Elsevier B.V.,"Computer Science, Artificial Intelligence, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101047378&tip=sid&clean=0,Energy and AI,26665468,https://www.sciencedirect.com/journal/energy-and-ai,https://www.editorialmanager.com/eai/default2.aspx,Elsevier B.V.,"Computer Science, Artificial Intelligence"
https://www.scimagojr.com/journalsearch.php?q=26801&tip=sid&clean=0,Computational Linguistics,"08912017, 15309312",https://www.mitpressjournals.org/loi/coli,http://cljournal.org/,MIT Press Journals,"Computer Science, Artificial Intelligence, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100420802&tip=sid&clean=0,GigaScience,2047217X,https://academic.oup.com/gigascience,https://www.editorialmanager.com/giga/default.aspx,Oxford University Press,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100850798&tip=sid&clean=0,npj Computational Materials,20573960,https://www.nature.com/npjcompumats/,https://mts-npjcompumats.nature.com/cgi-bin/main.plex?form_type=display_auth_instructions,Nature Publishing Group,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101081601&tip=sid&clean=0,PRX Quantum,26913399,https://journals.aps.org/prxquantum/,https://journals.aps.org/prxquantum/authors,American Physical Society,"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21101101329&tip=sid&clean=0,International Journal of Cognitive Computing in Engineering,26663074,https://www.keaipublishing.com/en/journals/international-journal-of-cognitive-computing-in-engineering/,https://www2.cloud.editorialmanager.com/ijcce/default2.aspx,KeAi Communications Co.,"Computer Science, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21101136681&tip=sid&clean=0,Internet of Things and Cyber-Physical Systems,26673452,https://www.keaipublishing.com/en/journals/internet-of-things-and-cyber-physical-systems/,https://www2.cloud.editorialmanager.com/iotcps/default2.aspx,KeAi Communications Co.,"Computer Science, Artificial Intelligence, Computer Networks and Communications, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21101070921&tip=sid&clean=0,IEEE Open Journal of the Communications Society,2644125X,https://www.comsoc.org/publications/journals/ieee-ojcoms,https://www.comsoc.org/publications/journals/ieee-ojcoms/ieee-open-journal-communications-society-submit-manuscript,Institute of Electrical and Electronics Engineers Inc.,"Computer Science, Computer Networks and Communications"
https://www.scimagojr.com/journalsearch.php?q=21100827946&tip=sid&clean=0,npj Quantum Information,20566387,https://www.nature.com/npjqi/,https://mts-npjqi.nature.com/cgi-bin/main.plex?form_type=display_auth_instructions,Nature Partner Journals,"Computer Science, Computational Theory and Mathematics, Computer Networks and Communications, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21101158600&tip=sid&clean=0,Journal of Metaverse,27920232,https://dergipark.org.tr/en/pub/jmv,https://dergipark.org.tr/en/pub/jmv/writing-rules,Izmir Academy Association,"Computer Science, Artificial Intelligence"
https://www.scimagojr.com/journalsearch.php?q=21100981101&tip=sid&clean=0,Smart Learning Environments,21967091,https://slejournal.springeropen.com/,https://www.editorialmanager.com/smle/default2.aspx,SpringerOpen,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=21100823476&tip=sid&clean=0,Digital Communications and Networks,"23528648, 24685925",http://www.keaipublishing.com/en/journals/digital-communications-and-networks/,http://www.keaipublishing.com/en/journals/digital-communications-and-networks/guide-for-authors/,KeAi Communications Co.,"Computer Science, Computer Networks and Communications, Hardware and Architecture"
https://www.scimagojr.com/journalsearch.php?q=21101132925&tip=sid&clean=0,IEEE Open Journal of the Computer Society,26441268,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8782664,How to publish link not found,Institute of Electrical and Electronics Engineers Inc.,"Computer Science, Computer Science (miscellaneous)"
https://www.scimagojr.com/journalsearch.php?q=21100862637&tip=sid&clean=0,Applied Computing and Informatics,"22108327, 26341964",https://www.emeraldgrouppublishing.com/journal/aci,https://mc.manuscriptcentral.com/appci,Emerald Group Publishing Ltd.,"Computer Science, Computer Science Applications, Information Systems, Software"
https://www.scimagojr.com/journalsearch.php?q=21101101955&tip=sid&clean=0,International Journal of Intelligent Networks,26666030,https://www.sciencedirect.com/journal/international-journal-of-intelligent-networks,https://www2.cloud.editorialmanager.com/ijin/default2.aspx,KeAi Communications Co.,"Computer Science, Artificial Intelligence, Computer Networks and Communications, Signal Processing"
https://www.scimagojr.com/journalsearch.php?q=21101132928&tip=sid&clean=0,Intelligent and Converged Networks,27086240,http://icn.tsinghuajournals.com/EN/2708-6240/home.shtml,http://icn.tsinghuajournals.com/EN/column/column8080.shtml,Tsinghua University Press Tsinghua University in Scimago Institutions Rankings,"Computer Science, Computer Networks and Communications"
https://www.scimagojr.com/journalsearch.php?q=21100451321&tip=sid&clean=0,Scientific data,20524463,https://www.nature.com/sdata/,https://mts-scidata.nature.com/cgi-bin/main.plex,Nature Publishing Group,"Computer Science, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21101068929&tip=sid&clean=0,Smart Cities,26246511,https://www.mdpi.com/journal/smartcities,https://www.mdpi.com/journal/smartcities/instructions,Multidisciplinary Digital Publishing Institute (MDPI),"Computer Science, Artificial Intelligence"
https://www.scimagojr.com/journalsearch.php?q=19700182731&tip=sid&clean=0,Egyptian Informatics Journal,"11108665, 20904754",https://www.journals.elsevier.com/egyptian-informatics-journal,https://www.editorialmanager.com/egij/default2.aspx,Elsevier B.V.,"Computer Science, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21100970248&tip=sid&clean=0,CAAI Transactions on Intelligence Technology,"24682322, 24686557",https://ietresearch.onlinelibrary.wiley.com/journal/24682322,https://mc.manuscriptcentral.com/caai-theiet-cit,John Wiley & Sons Inc.,"Computer Science, Artificial Intelligence, Computer Networks and Communications, Computer Vision and Pattern Recognition, Human-Computer Interaction, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21100933954&tip=sid&clean=0,Big Data and Society,20539517,https://journals.sagepub.com/home/bdsa,https://mc.manuscriptcentral.com/BDAS,SAGE Publications Ltd,"Computer Science, Computer Science Applications, Information Systems"
https://www.scimagojr.com/journalsearch.php?q=21100979265&tip=sid&clean=0,Railway Engineering Science,"26624745, 26624753",https://www.springer.com/journal/40534,https://www.editorialmanager.com/jmtr/default2.aspx,Springer,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=12137&tip=sid&clean=0,Journal of Statistical Software,15487660,https://www.jstatsoft.org/index,https://www.jstatsoft.org/pages/view/authors,"University of California at Los Angeles University of California, Los Angeles in Scimago Institutions Rankings","Computer Science, Software"
https://www.scimagojr.com/journalsearch.php?q=21101059781&tip=sid&clean=0,Digital Biomarkers,2504110X,https://karger.com/dib,https://karger.com/DIB/pages/submission,S. Karger AG,"Computer Science, Computer Science Applications"
https://www.scimagojr.com/journalsearch.php?q=19700201443&tip=sid&clean=0,Engineering Applications of Computational Fluid Mechanics,"19942060, 1997003X",https://www.tandfonline.com/toc/tcfm20/current,https://www.tandfonline.com/action/authorSubmission?journalCode=tcfm20&page=instructions,Taylor and Francis Ltd.,"Computer Science, Computer Science (miscellaneous)"
